"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"EVGENI.NABOKOV","2009-2010","S.J",71,3140.32,1578,110,93.03,92.45,0.58,98.34,93.37,75,9.15
"EVGENI.NABOKOV","2011-2012","NYI",42,1942.25,935,77,91.76,91.89,-0.13,97.12,93.06,78.61,-1.18
"EVGENI.NABOKOV","2012-2013","NYI",41,1998.08,905,76,91.6,91.53,0.08,97.49,92.28,80.48,0.69
"EVGENI.NABOKOV","2013-2014","NYI",40,1763.45,847,72,91.5,90.78,0.72,99.08,91.86,80.18,6.06
"EVGENI.NABOKOV","2014-2015","T.B",11,441.75,182,19,89.56,92.38,-2.82,94.81,89.86,77.78,-5.14
"FREDERIK.ANDERSEN","2013-2014","ANA",28,1214.62,619,43,93.05,92.19,0.86,98.9,95.61,74.79,5.33
"FREDERIK.ANDERSEN","2014-2015","ANA",54,2399.92,1088,89,91.82,92.16,-0.34,96.93,92.74,79.39,-3.73
"FREDERIK.ANDERSEN","2015-2016","ANA",43,1787.92,824,58,92.96,92.29,0.68,97.4,94.2,80.49,5.57
"FREDERIK.ANDERSEN","2016-2017","TOR",66,3046.62,1613,118,92.68,92.1,0.58,98.51,90.73,82.43,9.4
"FREDERIK.ANDERSEN","2017-2018","TOR",66,3167.66,1777,135,92.4,91.83,0.58,97.28,93.43,79.01,10.26
"FREDERIK.ANDERSEN","2018-2019","TOR",60,2870.03,1582,112,92.92,92.3,0.62,98.43,91.99,79.57,9.88
"FREDRIK.NORRENA","2007-2008","CBJ",37,1387.9,585,55,90.6,92.35,-1.75,96.9,89.93,76.92,-10.22
"FREDRIK.NORRENA","2008-2009","CBJ",8,232.81,92,8,91.3,93.52,-2.22,97.83,94.74,37.5,-2.04
"GARRET.SPARKS","2015-2016","TOR",17,767.73,365,37,89.86,92.08,-2.22,97.86,89.52,69.86,-8.11
"GARRET.SPARKS","2018-2019","TOR",20,942.92,512,45,91.21,92.33,-1.12,96.97,89.01,81.11,-5.72
"HANNU.TOIVONEN","2007-2008","STL",23,867.3,402,49,87.81,91.5,-3.69,95.52,85.86,78.57,-14.83
"HARRI.SATERI","2017-2018","FLA",9,384.95,201,16,92.04,92.03,0,97.85,96.97,71.43,0.01
"HENRIK.KARLSSON","2010-2011","CGY",17,641.8,297,26,91.25,92.53,-1.29,99.29,90,69.57,-3.82
"HENRIK.KARLSSON","2011-2012","CGY",9,359.45,168,14,91.67,91.15,0.51,92.31,100,81.4,0.86
"HENRIK.LUNDQVIST","2007-2008","NYR",70,3024.15,1234,90,92.71,91.15,1.55,97.71,93.1,84.55,19.15
"HENRIK.LUNDQVIST","2008-2009","NYR",70,3029.62,1451,113,92.21,91.51,0.7,98.35,94.06,76.9,10.16
"HENRIK.LUNDQVIST","2009-2010","NYR",73,3192.53,1594,110,93.1,91.49,1.61,98.03,93.83,83.69,25.7
"HENRIK.LUNDQVIST","2010-2011","NYR",68,3087.2,1510,107,92.91,91.86,1.05,98.01,93.81,81.29,15.93
"HENRIK.LUNDQVIST","2011-2012","NYR",62,2934.98,1379,93,93.26,91.87,1.39,98.84,92.31,83.39,19.14
"HENRIK.LUNDQVIST","2012-2013","NYR",43,2046.2,908,58,93.61,91.81,1.8,98.51,93.31,84.39,16.36
"HENRIK.LUNDQVIST","2013-2014","NYR",63,2885.86,1401,101,92.79,91.71,1.08,98.83,92.34,82.08,15.09
"HENRIK.LUNDQVIST","2014-2015","NYR",46,2225.02,1071,75,93,91.92,1.08,98.59,94.29,78.76,11.59
"HENRIK.LUNDQVIST","2015-2016","NYR",65,3022.15,1534,97,93.68,92.05,1.63,99.12,94.05,81.93,24.96
"HENRIK.LUNDQVIST","2016-2017","NYR",57,2631.83,1337,110,91.77,91.66,0.11,97.43,92.6,78.72,1.45
"HENRIK.LUNDQVIST","2017-2018","NYR",63,2817.65,1638,129,92.12,91.99,0.14,97.75,90.74,81.57,2.24
"HENRIK.LUNDQVIST","2018-2019","NYR",52,2465.88,1309,102,92.21,91.95,0.26,97.36,92.09,79.84,3.36
"ILYA.BRYZGALOV","2007-2008","ANA/ARI",63,2605.27,1322,89,93.27,92.58,0.69,97.73,93.92,78.38,9.13
"ILYA.BRYZGALOV","2008-2009","ARI",64,2867.58,1488,122,91.8,92.99,-1.19,97.74,90.89,75.6,-17.72
