"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"TOR","2009-2010",82,3786.18,3926,3507,419,52.82,62.22,55.58,149,161,-12,48.06,2.36,2.55,158.68,138.78,19.9,53.34,2.51,2.2,332,331,-1,7.37,91.12,98.49
"TOR","2010-2011",82,3812.36,3568,3901,-333,47.77,56.15,61.4,149,158,-9,48.53,2.35,2.49,132.79,149.94,-17.15,46.97,2.09,2.36,295,311,16,8.4,92.03,100.43
"TOR","2011-2012",82,3977.49,3671,3833,-162,48.92,55.38,57.82,155,180,-25,46.27,2.34,2.72,146.7,161.55,-14.85,47.59,2.21,2.44,257,277,20,8.47,90.97,99.43
"TOR","2012-2013",48,2273.28,1929,2445,-516,44.1,50.91,64.53,104,95,9,52.26,2.74,2.51,74.7,95.14,-20.44,43.98,1.97,2.51,205,198,-7,10.66,92.39,103.04
"TOR","2013-2014",82,3917.6,3262,4342,-1080,42.9,49.96,66.5,148,163,-15,47.59,2.27,2.5,130.52,173.22,-42.7,42.97,2,2.65,316,301,-15,8.47,92.85,101.32
"TOR","2014-2015",82,3855.12,3363,3878,-515,46.44,52.34,60.36,136,171,-35,44.3,2.12,2.66,133.74,169.45,-35.71,44.11,2.08,2.64,265,289,24,7.51,91.84,99.35
"TOR","2015-2016",82,3866.87,3770,3578,192,51.31,58.5,55.52,120,160,-40,42.86,1.86,2.48,142.55,146.13,-3.58,49.38,2.21,2.27,274,259,-15,6.36,91.94,98.3
"TOR","2016-2017",82,3967.96,3936,3876,60,50.38,59.52,58.61,168,162,6,50.91,2.54,2.45,177.14,171.04,6.1,50.88,2.68,2.59,267,248,-19,8.3,92.25,100.55
"TOR","2017-2018",82,4015.07,3941,3963,-22,49.86,58.89,59.22,186,158,28,54.07,2.78,2.36,179.09,171.37,7.72,51.1,2.68,2.56,206,200,-6,9.01,92.81,101.82
"TOR","2018-2019",82,4063.75,4375,4074,301,51.78,64.6,60.15,202,169,33,54.45,2.98,2.5,182.53,169.94,12.59,51.79,2.7,2.51,195,194,-1,9.33,92.41,101.74
"VAN","2007-2008",82,3494.45,2767,2961,-194,48.31,47.51,50.84,118,122,-4,49.17,2.03,2.09,114.38,121.67,-7.29,48.46,1.96,2.09,363,378,15,7.85,92.41,100.25
"VAN","2008-2009",81,3536.45,2951,3019,-68,49.43,50.07,51.22,149,115,34,56.44,2.53,1.95,126.11,126.15,-0.04,49.99,2.14,2.14,385,392,7,9.23,93.08,102.3
"VAN","2009-2010",82,3670.41,3353,3133,220,51.7,54.81,51.21,167,134,33,55.48,2.73,2.19,139.77,131.66,8.11,51.49,2.28,2.15,361,352,-9,9.14,92.4,101.53
"VAN","2010-2011",82,3806.85,3674,3354,320,52.28,57.91,52.86,162,123,39,56.84,2.55,1.94,147.73,144.45,3.28,50.56,2.33,2.28,301,284,-17,8.23,93.35,101.58
"VAN","2011-2012",82,3839.8,3656,3284,372,52.68,57.13,51.32,156,132,24,54.17,2.44,2.06,138.72,146.22,-7.5,48.68,2.17,2.28,302,293,-9,8.15,93.11,101.27
"VAN","2012-2013",48,2257.72,1993,1880,113,51.46,52.96,49.96,83,80,3,50.92,2.21,2.13,81.76,79.96,1.8,50.56,2.17,2.12,167,186,19,8.03,92.54,100.57
"VAN","2013-2014",82,3887.38,3699,3514,185,51.28,57.09,54.24,139,142,-3,49.47,2.15,2.19,141.86,140.72,1.14,50.2,2.19,2.17,310,292,-18,7.25,92.27,99.52
"VAN","2014-2015",82,3893.2,3476,3548,-72,49.49,53.57,54.68,148,159,-11,48.21,2.28,2.45,139.78,153.5,-13.72,47.66,2.15,2.37,295,269,-26,7.74,91.56,99.3
"VAN","2015-2016",82,3945.79,3272,3659,-387,47.21,49.75,55.64,124,153,-29,44.77,1.89,2.33,128.92,159.84,-30.92,44.65,1.96,2.43,249,261,12,6.88,92.52,99.4
"VAN","2016-2017",82,4046.86,3401,3691,-290,47.96,50.42,54.72,128,158,-30,44.76,1.9,2.34,135.26,160.66,-25.4,45.71,2.01,2.38,221,227,6,7.01,92.42,99.43
"VAN","2017-2018",81,3920.53,3451,3787,-336,47.68,52.81,57.96,137,162,-25,45.82,2.1,2.48,137.47,157.69,-20.22,46.57,2.1,2.41,230,208,-22,7.21,92.15,99.36
"VAN","2018-2019",81,3892.87,3507,3795,-288,48.03,54.05,58.49,147,171,-24,46.23,2.27,2.64,138.19,162.83,-24.63,45.91,2.13,2.51,231,242,11,7.92,91.66,99.59
"VGK","2017-2018",82,3920.4,3819,3675,144,50.96,58.45,56.24,171,153,18,52.78,2.62,2.34,151.99,147.94,4.05,50.68,2.33,2.26,209,233,24,8.38,92.19,100.57
"VGK","2018-2019",82,3995.8,4160,3496,664,54.34,62.47,52.5,172,160,12,51.81,2.58,2.4,190.4,149.18,41.22,56.07,2.86,2.24,210,211,1,7.74,91.62,99.37
"WPG","2011-2012",82,3897.03,3643,3596,47,50.32,56.09,55.37,150,156,-6,49.02,2.31,2.4,155.95,150.67,5.28,50.86,2.4,2.32,285,271,-14,7.68,91.74,99.43
"WPG","2012-2013",48,2354.72,2195,2241,-46,49.48,55.93,57.1,91,102,-11,47.15,2.32,2.6,88.52,93.53,-5.01,48.62,2.26,2.38,157,149,-8,8.3,91.2,99.5
"WPG","2013-2014",82,3881.86,3648,3638,10,50.07,56.39,56.23,152,161,-9,48.56,2.35,2.49,158.19,152.48,5.71,50.92,2.45,2.36,306,269,-37,7.81,91.58,99.38
"WPG","2014-2015",82,3773.4,3501,3165,336,52.52,55.67,50.33,143,123,20,53.76,2.27,1.96,152.41,133.43,18.98,53.32,2.42,2.12,341,291,-50,7.87,92.73,100.6
"WPG","2015-2016",82,3864.69,3547,3352,195,51.41,55.07,52.04,145,142,3,50.52,2.25,2.2,148.17,146.69,1.48,50.25,2.3,2.28,301,272,-29,7.66,92.12,99.78
"WPG","2016-2017",82,3878.01,3382,3486,-104,49.24,52.33,53.93,157,164,-7,48.91,2.43,2.54,147.78,144,3.78,50.65,2.29,2.23,252,262,10,8.51,91.56,100.07
"WPG","2017-2018",82,3901.28,3810,3588,222,51.5,58.6,55.18,174,144,30,54.72,2.68,2.21,156.54,139.99,16.55,52.79,2.41,2.15,251,235,-16,8.53,92.54,101.07
"WPG","2018-2019",82,3958.78,3694,3854,-160,48.94,55.99,58.41,167,163,4,50.61,2.53,2.47,147.32,161.13,-13.8,47.76,2.23,2.44,232,249,17,8.37,92.33,100.7
"WSH","2007-2008",81,3592.3,3508,2799,709,55.62,58.59,46.75,140,132,8,51.47,2.34,2.2,145.66,118.93,26.73,55.05,2.43,1.99,307,310,3,7.58,91.45,99.03
"WSH","2008-2009",82,3660.33,3793,3110,683,54.95,62.17,50.98,151,136,15,52.61,2.48,2.23,153.87,128.73,25.14,54.45,2.52,2.11,337,310,-27,7.56,91.92,99.49
"WSH","2009-2010",82,3798.3,3880,3459,421,52.87,61.29,54.64,209,134,75,60.93,3.3,2.12,154,145.08,8.92,51.49,2.43,2.29,275,267,-8,10.39,92.9,103.29
"WSH","2010-2011",82,3825.4,3643,3478,165,51.16,57.14,54.55,143,132,11,52,2.24,2.07,142.22,132.53,9.69,51.76,2.23,2.08,297,261,-36,7.59,92.61,100.2
"WSH","2011-2012",82,3952.25,3491,3647,-156,48.91,53,55.37,149,145,4,50.68,2.26,2.2,137.46,137.68,-0.22,49.96,2.09,2.09,246,235,-11,8.16,92.41,100.57
"WSH","2012-2013",48,2289.75,2043,2150,-107,48.72,53.53,56.34,91,85,6,51.7,2.38,2.23,82.09,85.74,-3.65,48.91,2.15,2.25,167,174,7,8.6,92.8,101.4
"WSH","2013-2014",82,3890.08,3367,3693,-326,47.69,51.93,56.96,134,152,-18,46.85,2.07,2.34,133.56,145.1,-11.54,47.93,2.06,2.24,290,292,2,7.64,92.51,100.15
"WSH","2014-2015",82,3893.65,3614,3420,194,51.38,55.69,52.7,146,133,13,52.33,2.25,2.05,140.73,127.74,12.99,52.42,2.17,1.97,300,273,-27,8.04,92.45,100.49
"WSH","2015-2016",82,3939.32,3689,3546,143,50.99,56.19,54.01,162,128,34,55.86,2.47,1.95,145.71,135.78,9.93,51.76,2.22,2.07,248,256,8,8.24,92.9,101.13
"WSH","2016-2017",82,3907.75,3653,3401,252,51.79,56.09,52.22,178,112,66,61.38,2.73,1.72,148.85,140.57,8.28,51.43,2.29,2.16,278,238,-40,9.18,93.73,102.91
"WSH","2017-2018",82,3954.08,3609,3912,-303,47.99,54.76,59.36,169,153,16,52.48,2.56,2.32,149.14,169.01,-19.87,46.88,2.26,2.56,266,232,-34,9.14,92.47,101.61
"WSH","2018-2019",81,3888.27,3675,3801,-126,49.16,56.71,58.65,193,160,33,54.67,2.98,2.47,151.77,170.17,-18.4,47.14,2.34,2.63,257,224,-33,10.01,92.02,102.03
